cuestionario;factor;zona;campo;genero;filtro_a;p1edad;edadr;filtro_b;filtro_c;voluntad;p2;p2_1;p2_1_1;p2_2;p2_2_1;p3;p4;p5;p6;p7;p7_1;p7_2;p7_2_1;p7_2_2;p7_2_3;p7_2_4;p7_3;p7_3_1;p7_3_2;p8;p9estrato;p10;p11;p11_1;p12;p12_1;p12_2;p13;p14;p15;p15_1;p16;p16_1;p17;p17_v2_1;p17_v2_2;p17_v2_3;p17_v3;p17_v3_otro;p17_v4;p17_v5;p17_v6;p17_v7;p17_v7_1;p18;p18_p1;p18_p2;p18_p3;p18_p4;p18_c1;p19comuna;p20;p20_1;p20_1_otro;p21;p22;p23;p23_1;p23_2;p24;p25;p25_1;p25_2;p25_3;p25_4;p26;p27;p27_1;p27_2;p27_3;p27_4;p27_5;p27_6;p27_7;p27_8;p27_9;p27_10;p27_otro;p28p28_1;p28p28_2;p28p28_3;p28p28_4;p28p28_5;p28p28_6;p28p28_7;p28p28_8;p28p28_9;p29;p29_otro;p30;p30_otro;p31;p32;p33;p33_otro;p34;p34_otro;p35;p35_otro;p36;p37;p38p38_1;p38p38_2;p38p38_3;p38p38_4;p38p38_5;p38p38_6;p38p38_7;p38p38_99;p38_99_otro;p39;p39_1;p39_otro;p39_1_2;p39_1_1;p39_1_otro;p39_2;p40;p41;p47latitude;p47longitude;p47altitude;p47accuracy
21;5.921.933.934;Urbana Oriente;Presencial en hogares;Femenino;Si;58;55 - 64 años;No;Si;Si;Si;Antioquia;Ecoclí;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);Si;Secundaria incompleta;Si;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Entre 100 y 300 mil pesos;Si;Usted;Dificultad para ver, aún utilizando lentes;;;No;No;0;;3;1;Transporte público (MIO);;;;;;;;;;;;3;30;90;15;;Comuna 21;Cali;Comuna 19;;Dos;Entre 8 y 12 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Poco Satisfecho;La distancia que debe recorrer;;;;;El tiempo de espera;Tiempos de viaje largos o inciertos;;;;;;;;;;;;4;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;4;4;Muy importante;Automóvil;;Otra razón ¿Cuál?;No sabe manejar;Incineración de residuos;Bajo;Automóvil;;Moto en plataforma (Ejemplo: Didi);;Inseguridad;;Nada Importante;Muy importante;No;No;Si;Si;Si;Si;No;No;;En los paraderos o estaciones;;;Cambió de lugar (por ejemplo, caminó hacía otro paradero, o se cambio de puesto en el bus);;;No;Mujer;No;34.359.145;-764.708.089;9.793.999.634;10.522
22;5.176.076.781;Urbana Oriente;Presencial en hogares;Masculino;Si;33;25 - 34 años;No;Si;Si;Si;Valle;Cali;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Secundaria completa;No;Trabajar;Empleado en empresa, gobierno u organización;De lunes a sábado;;;;;;;;Con su pareja;Estrato 1;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;No;0;;1;1;Transporte público colectivo busetas;;;;;;;;;;;;6;10;90;2;;Comuna 21;Cali;Comuna 6;;Uno;Entre 4 y 7 km;Ir a trabajar;;;Muy Satisfecho;La comodidad (confort);El costo (sus posibilidades económicas o capacidad adquisitiva);;;;El costo de compra;Multitud de personas;Congestión de tráfico;;;;;;;;;;;2;2;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Otra razón ¿Cuál?;No lo tiene;Empresas manufactureras;Moderado;Automóvil;;Campero/ Camioneta (SUV);;Inseguridad;;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.361.332;-764.653.874;9.793.999.634;12.848
23;5.660.793.001;Urbana Oriente;Presencial en hogares;Femenino;Si;46;45 - 54 años;No;Si;Si;Si;Cauca;Bolívar;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Técnico profesional;No;Trabajar;Trabajador independiente o por cuenta propia;Ningún día;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 1;Menos de 100 mil pesos;Si;Usted;Ninguna dificultad;;;No;No;0;;2;1;Transporte público (MIO);;;;;;;;;;;;5;20;90;10;;Comuna 21;Cali;Comuna 3;;Dos;Entre 8 y 12 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Poco Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;El tiempo de espera;Esfuerzo físico agotador;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;4;3;3;4;3;Van;;Es el medio de transporte que utiliza;;Empresas manufactureras;Moderado;Mio Cable;;Guala o pirata;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada Importante;Muy importante;No;Si;No;Si;No;No;No;No;;En los paraderos o estaciones;;;Otro;;Lo empujé;No;Mujer;No;34.359.074;-764.645.996;9.802.000.122;11.526
24;5.176.076.781;Urbana Oriente;Presencial en hogares;Masculino;Si;53;45 - 54 años;No;Si;Si;Si;Valle;Mariano Ramos;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);Si;Básica primaria completa;No;Trabajar;Empleado(a) doméstico;De lunes a sábado;;;;;;;;Con su pareja;Estrato 1;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;1;2;3;2;Moto 2T;;Menos de 125 cc;;Gasolina corriente;;2010;Cali;Conductor;Algunas veces;1;15;;;;;;Comuna 16;Cali;Comuna 19;;Cuatro o más;Más de 12 km;A realizar actividades físicas y/o deportivas (ir al gym, trotar, entrenar);;;Muy Satisfecho;La comodidad (confort);Condiciones de salud propias o de un familiar;;;;Las condiciones de incomodidad;Tiempos de espera largos o inciertos;Ser víctima de robo o atraco;;;;;;;;;;;4;Muy importante;4;3;Muy importante;2;Muy importante;Muy importante;3;Moto 2T;;Es el medio de transporte que utiliza;;Empresas manufactureras;Muy alto;Mio Cable;;Bicitaxi sin motor;;Inclinación del terreno;;4;2;No;Si;No;No;Si;No;No;No;;Mientras caminaba;;;Otro;;Se rió;Si;Hombre;No;34.027.667;-7.651.379;9.820.999.756;12.804
25;425.919.659;Urbana Oriente;Presencial en hogares;Femenino;Si;57;55 - 64 años;No;Si;Si;Si;Nariño;Cumbal;;;Ninguna de las anteriores;Si;Básica primaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;Con su pareja;Estrato 3;Menos de 100 mil pesos;No;;Dificultad para ver, aún utilizando lentes;;;No;No;0;;1;2;Transporte público colectivo busetas;;;;;;;;;;;;6;30;40;5;;Comuna 16;Cali;Comuna 15;;No salgo del hogar con frecuencia;Entre 4 y 7 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Poco Satisfecho;La comodidad (confort);;;;;Las condiciones de incomodidad;Tiempos de espera largos o inciertos;;;;;;;;;;;;2;3;Nada Importante;4;3;2;3;4;4;Taxi;;Otra razón ¿Cuál?;Casi no salgo;Los vehículos que circulan en la ciudad;Moderado;Mio Cable;;Camión pesado;;Inseguridad;;4;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;34.027.408;-765.137.081;9.820.999.756;12.78
26;5.176.076.781;Urbana Oriente;Presencial en hogares;Masculino;Si;65;65 - 80 años;No;Si;Si;Si;Nariño;Unión;;;Indígena;Si;Secundaria completa;No;Incapacitado permanente para trabajar;;;;;;;;;;Con su pareja;Estrato 1;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;No;0;;0;;Transporte público (MIO);;;;;;;;;;;;3;25;60;10;;Comuna 21;Cali;Comuna 3;;Dos;Más de 12 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Muy Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;El tiempo de espera;Tiempos de espera largos o inciertos;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Transporte público (MIO);;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Alto;Patineta eléctrica;;Campero/ Camioneta (SUV);;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.345.448;-764.648.039;0;100
27;5.176.076.781;Urbana Oriente;Presencial en hogares;Masculino;Si;65;65 - 80 años;No;Si;Si;Si;Tolima;Cajamarca;;;Ninguna de las anteriores;Si;Secundaria incompleta;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;Con su pareja;Estrato 1;Menos de 100 mil pesos;No;;Ninguna dificultad;;;No;No;0;;1;1;Automóvil en plataforma (Ejemplo:Uber, Yango, Didi, InDriver);;;;;;;;;;;25;;;;;;Comuna 21;Cali;Comuna 3;;Uno;Más de 12 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Muy Satisfecho;La comodidad (confort);;;;;El tiempo de espera;Tiempos de espera largos o inciertos;Tiempos de viaje largos o inciertos;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil en plataforma (Ejemplo:Uber);;Tiempos de viaje o espera asociados;;Vertederos (basureros) y rellenos sanitarios;Moderado;Taxi;;Moto en plataforma (Ejemplo: Didi);;Inseguridad;;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;Si;Hombre;No;34.346.473;-764.651.133;1.005.225.586;22.779
28;4.625.032.155;Urbana Oriente;Presencial en hogares;Masculino;Si;69;65 - 80 años;No;Si;Si;Si;Valle;Caicedonia;;;Indígena;Si;Básica primaria incompleta;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;Con su pareja;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, auto;Si, auto;1;2;0;;Automóvil;Menos de 1000 cc;;;Diésel;;2014;Cali;Conductor;Algunas veces;3;25;;;;;;Comuna 16;Cali;Comuna 4;;Uno;Más de 12 km;Ir a trabajar;;;Muy Satisfecho;El tiempo de viaje;La distancia que debe recorrer;;;;Las condiciones de incomodidad;Esfuerzo físico agotador;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;No hay cobertura del modo de transporte;;Los vehículos que circulan en la ciudad;Alto;Taxi;;Campero/ Camioneta (SUV);;Inseguridad;;Nada Importante;Nada Importante;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;;;;;;;;No;Hombre;No;34.020.269;-765.114.277;0;100
29;5.921.933.934;Urbana Oriente;Presencial en hogares;Femenino;Si;28;25 - 34 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar;Profesional independiente (por ejemplo, por prestación de servicios);De lunes a domingo;;;;;;;;Con su pareja;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;No;1;1;1;1;Moto 2T;;150 cc;;Gasolina corriente;;2024;Cali;Acompañante (pasajero o parrilero);Siempre;1;15;;;;;;Comuna 16;Cali;Comuna 17;;Uno;Entre 4 y 7 km;Ir a trabajar;;;Muy Satisfecho;La comodidad (confort);;;;;El tiempo de espera;Exposición a condiciones climáticas desfavorables (lluvia o calor);Tiempos de espera largos o inciertos;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 2T;;Es el medio de transporte que utiliza;;Vertederos (basureros) y rellenos sanitarios;Moderado;Mio Cable;;Automóvil;;Inseguridad;;Nada Importante;Nada Importante;No;Si;Si;Si;Si;No;No;No;;En los buses del transporte público (metro);;;No tomó ninguna acción;;;No;Mujer;No;34.014.608;-765.137.435;9.946.552.734;34.419
30;5.176.076.781;Urbana Oriente;Presencial en hogares;Masculino;Si;37;35 - 44 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Tecnológico;No;Trabajar y estudiar;Trabajador independiente o por cuenta propia;Ningún día;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 1;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si, motocicleta;0;;2;2;Moto 4T;;Entre 150 cc y 250 cc;;Gasolina corriente;;2025;Otro municipio;Conductor;Nunca;;20;;;;;;Comuna 21;Cali;Comuna 3;;Uno;Más de 12 km;A realizar actividades físicas y/o deportivas (ir al gym, trotar, entrenar);;;Totalmente satisfecho;El tiempo de viaje;;;;;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Tiempos de viaje largos o inciertos;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;Nada Importante;3;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Empresas manufactureras;Nulo;Camión liviano;;Campero/ Camioneta (SUV);;Inseguridad;;Nada Importante;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.350.892;-764.656.921;979.5;4.879
31;5.660.793.001;Urbana Oriente;Presencial en hogares;Femenino;Si;33;25 - 34 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Técnico profesional;No;Trabajar;Trabajador independiente o por cuenta propia;Ningún día;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 1;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;Si, motocicleta;0;;2;2;Moto en plataforma (Ejemplo: Didi, Picap, Uber, otras);;;;;;;;;;;30;;;;;;Comuna 21;Cali;Comuna 3;;Uno;Más de 12 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Totalmente satisfecho;La comodidad (confort);El tiempo de viaje;;;;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Congestión de tráfico;Multitud de personas;;;;;;;;;;;Muy importante;Muy importante;3;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;4;Automóvil;;Costos asociados;;Los vehículos que circulan en la ciudad;Moderado;Camión pesado;;Van/Camioneta con platón;;Inseguridad;;Nada Importante;2;No;Si;No;Si;Si;No;No;No;;En los paraderos o estaciones;;;No tomó ninguna acción;;;No;Mujer;No;34.352.876;-764.655.165;9.793.999.634;4.889
32;4.625.032.155;Urbana Oriente;Presencial en hogares;Masculino;Si;57;55 - 64 años;No;Si;Si;Si;Risaralda;Pueblo Rico;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Básica primaria completa;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;3;2;1;1;Automóvil;Entre 1000 y 1499 cc;;;Gasolina corriente;;2008;Cali;Conductor;Nunca;;20;;;;;;Comuna 16;Cali;Comuna 17;;Dos;Entre 1 y 3 km;Ir a trabajar;;;Muy Satisfecho;La comodidad (confort);El tiempo de viaje;;;;La vulnerabilidad frente accidentes de tránsito;Tiempos de viaje largos o inciertos;;;;;;;;;;;;Muy importante;3;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;Muy importante;Muy importante;Automóvil;;Es el medio de transporte que utiliza;;Construcciones y obras civiles o demoliciones;Moderado;Mio Cable;;Campero/ Camioneta (SUV);;Otro. ¿Cuál?;Pereza;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.020.237;-765.129.512;9.817.000.122;3.904
33;4.625.032.155;Urbana Oriente;Presencial en hogares;Masculino;Si;25;25 - 34 años;No;Si;Si;Si;Valle;Cali;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Secundaria completa;Si;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;Con su pareja y otros familiares;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;No;0;;1;1;Moto 4T;;Menos de 125 cc;;Gasolina corriente;;2022;Otro municipio;Conductor;Algunas veces;1;20;;;;;;Comuna 16;Cali;Comuna 15;;Uno;Entre 4 y 7 km;Ir a trabajar;;;Muy Satisfecho;La distancia que debe recorrer;El tiempo de viaje;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;4;Muy importante;4;4;Muy importante;Nada Importante;Nada Importante;3;4;Moto 4T;;Es el medio de transporte que utiliza;;Vertederos (basureros) y rellenos sanitarios;Moderado;Moto 2T;;Camión pesado;;Inseguridad;;3;Muy importante;No;Si;No;No;Si;No;No;No;;Entre el paradero y la casa;;;Cambió de lugar (por ejemplo, caminó hacía otro paradero, o se cambio de puesto en el bus);;;No;Hombre;No;34.018.457;-765.127.673;9.845.999.756;4.581
34;4.625.032.155;Urbana Oriente;Presencial en hogares;Masculino;Si;60;55 - 64 años;No;Si;Si;Si;Valle;Cali;;;Raizal del Archipiélago de San Andrés, Providencia y Santa Catalina;No;Básica primaria completa;Si;Es pensionado(a);;;;;;;;;;Sola(o);Estrato 2;Más de 500 mil pesos;Si;Usted;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;1;2;1;2;Moto 4T;;Entre 150 cc y 250 cc;;Gasolina corriente;;2019;Otro municipio;Conductor;Siempre;3;60;;;;;;Comuna 16;Cali;Comuna 22;;No salgo del hogar con frecuencia;Más de 12 km;Ir a trabajar;;;Muy Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;El tiempo de viaje;Congestión de tráfico;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Nada Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Transporte público (MIO);;Nivel de inseguridad;;Los vehículos que circulan en la ciudad;Alto;Campero/ Camioneta (SUV);;Campero/ Camioneta (SUV);;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.036.398;-765.144.667;9.805.999.756;7.2
35;4.625.032.155;Urbana Oriente;Presencial en hogares;Masculino;Si;60;55 - 64 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;Si;Básica primaria completa;Si;Trabajar;Empleado(a) doméstico;De lunes a viernes;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;;No;No;0;;0;;Bicicleta;;;;;;;;;;;60;;;;;;Comuna 16;Cali;Comuna 16;;Tres;Entre 4 y 7 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Poco Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;El tiempo de espera;Tiempos de espera largos o inciertos;;;;;;;;;;;;3;3;Muy importante;Nada Importante;Muy importante;Muy importante;Nada Importante;2;Muy importante;Bicicleta;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Moderado;Automóvil;;Automóvil;;Inseguridad;;3;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.041.314;-76.514.408;1003.2;6.45
36;5.176.076.781;Urbana Oriente;Presencial en hogares;Masculino;Si;56;55 - 64 años;No;Si;Si;Si;Putumayo;Mocoa;;;Indígena;No;Secundaria completa;No;Es pensionado(a);;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 1;Entre 300 mil y 500 mil pesos;Si;Usted;Dificultad permanente para moverse (por ejemplo utiliza silla de ruedas, muleta, caminadores);;;Sí, auto y motocicleta;Si de auto y motocicleta;1;2;1;2;Automóvil;Entre 1000 y 1499 cc;;;Gasolina corriente;;2017;Cali;Conductor;Siempre;3;30;;;;;;Comuna 21;Cali;Comuna 6;;Uno;Más de 12 km;Ir a trabajar;;;Muy Satisfecho;La comodidad (confort);;;;;Otra razón;Otro ¿Cuál?;;;;;;;;;;;Vías;Muy importante;Muy importante;4;4;Muy importante;Nada Importante;Nada Importante;Muy importante;Muy importante;Automóvil;;Es el medio de transporte que utiliza;;Construcciones y obras civiles o demoliciones;Moderado;Automóvil;;Campero/ Camioneta (SUV);;Inseguridad;;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.356.174;-76.464.685;9.798.999.634;10.65
37;5.176.076.781;Urbana Oriente;Presencial en hogares;Masculino;Si;66;65 - 80 años;No;Si;Si;Si;Huila;Huila;;;Indígena;Si;Ninguno;No;Trabajar;Trabajador independiente o por cuenta propia;Ningún día;;;;;;;;Con su pareja;Estrato 1;Menos de 100 mil pesos;No;;Ninguna dificultad;;;No;Si de auto y motocicleta;0;;0;;Bicicleta;;;;;;;;;;;25;;;;;;Comuna 21;Cali;Comuna 4;;Uno;Entre 1 y 3 km;A realizar actividades físicas y/o deportivas (ir al gym, trotar, entrenar);;;Muy Satisfecho;La comodidad (confort);;;;;El tiempo de espera;Congestión de tráfico;;;;;;;;;;;;Muy importante;4;4;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Tiempos de viaje o espera asociados;;Los vehículos que circulan en la ciudad;Bajo;Automóvil;;Campero/ Camioneta (SUV);;Inseguridad;;3;Muy importante;No;No;No;No;Si;No;No;No;;Mientras caminaba;Entre el paradero y la casa;;Avisó a alguna autoridad como la policia;Tomó la decisión de no volver a usar ese modo de transporte;;No;Hombre;No;34.350.579;-764.645.301;9.797.999.878;64.1
38;5.660.793.001;Urbana Oriente;Presencial en hogares;Femenino;Si;61;55 - 64 años;No;Si;Si;Si;Tolima;Chaparral;;;Ninguna de las anteriores;No;Básica primaria completa;Si;Incapacitado permanente para trabajar;;;;;;;;;;Con sus hijos y otros familiares;Estrato 1;Menos de 100 mil pesos;Si;Una mujer de la familia que vive con usted;Ninguna dificultad;;;No;No;0;;0;;Transporte público (MIO);;;;;;;;;;;;3;15;40;15;;Comuna 21;Cali;Comuna 18;;Uno;Entre 4 y 7 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Satisfecho;Condiciones de salud propias o de un familiar;;;;;El tiempo de espera;Ser víctima de robo o atraco;Ser víctima de situaciones de acoso o violencia;;;;;;;;;;;4;4;3;3;Muy importante;Muy importante;4;Muy importante;4;Taxi;;Costos asociados;;Los vehículos que circulan en la ciudad;Alto;Camión liviano;;Campero/ Camioneta (SUV);;Falta de información;;4;Muy importante;No;Si;No;Si;Si;No;Si;No;;Mientras caminaba;;;Llamó a alguien conocido (para contarle o desahogarse);;;Si;Mujer;No;34.350.845;-764.654.924;996.7;5.12
39;5.660.793.001;Urbana Oriente;Presencial en hogares;Femenino;Si;50;45 - 54 años;No;Si;Si;Si;Nariño;Buesaco;;;Ninguna de las anteriores;No;Básica primaria incompleta;Si;Trabajar;Trabajador independiente o por cuenta propia;De lunes a viernes;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 1;Menos de 100 mil pesos;Si;Una mujer de la familia que vive con usted;Ninguna dificultad;;;No;No;0;;0;;Transporte público (MIO);;;;;;;;;;;;3;60;120;20;;Comuna 21;Cali;Comuna 9;;Tres;Entre 8 y 12 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Nada Satisfecho;La distancia que debe recorrer;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;El tiempo de espera;Tiempos de viaje largos o inciertos;Tiempos de espera largos o inciertos;;;;;;;;;;;Nada Importante;3;3;3;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Taxi;;Costos asociados;;Otro;Alto;Automóvil;;Automóvil;;Falta de información;;Nada Importante;4;No;No;No;No;No;No;No;No;;;;;;;;Si;Mujer;No;3.434.766;-764.650.757;977.9;7.38
40;3.881.232.125;Urbana Oriente;Presencial en hogares;Femenino;Si;57;55 - 64 años;No;Si;Si;Si;Valle;Dagua;;;Ninguna de las anteriores;No;Secundaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 4;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;No;No;1;1;1;1;Automóvil;Entre 1000 y 1499 cc;;;Gasolina corriente;;Modelos anteriores a 2005;Cali;Acompañante (pasajero o parrilero);Algunas veces;3;20;;;;;;Comuna 16;Cali;Comuna 8;;Dos;Entre 8 y 12 km;A realizar compras;;;Totalmente satisfecho;La comodidad (confort);La percepción de seguridad;;;;Nada me disgusta;Congestión de tráfico;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;3;Automóvil;;Es el medio de transporte que utiliza;;Construcciones y obras civiles o demoliciones;Moderado;Camión liviano;;Automóvil;;Costos altos;;3;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;34.018.906;-765.142.888;9.795.999.756;9.65
